CURVEDATE,MARKET,COMPONENT,DELMO,VOLATILITY,SEGMENT
11/14/2017,NYMEX ,NG    ,12/1/2017,0.40974,rtc
11/14/2017,NYMEX ,NG    ,1/1/2018,0.45983,rtc
11/14/2017,NYMEX ,NG    ,2/1/2018,0.47283,rtc
11/14/2017,NYMEX ,NG    ,3/1/2018,0.47856,rtc
11/14/2017,NYMEX ,NG    ,4/1/2018,0.30555,rtc
11/14/2017,NYMEX ,NG    ,5/1/2018,0.26974,rtc
11/14/2017,NYMEX ,NG    ,6/1/2018,0.26437,rtc
11/14/2017,NYMEX ,NG    ,7/1/2018,0.26131,rtc
11/14/2017,NYMEX ,NG    ,8/1/2018,0.25667,rtc
11/14/2017,NYMEX ,NG    ,9/1/2018,0.25689,rtc
11/14/2017,NYMEX ,NG    ,10/1/2018,0.25694,rtc
11/14/2017,NYMEX ,NG    ,11/1/2018,0.25823,rtc
11/14/2017,NYMEX ,NG    ,12/1/2018,0.26104,rtc
11/14/2017,NYMEX ,NG    ,1/1/2019,0.27966,rtc
11/14/2017,NYMEX ,NG    ,2/1/2019,0.29586,rtc
11/14/2017,NYMEX ,NG    ,3/1/2019,0.30714,rtc
11/14/2017,NYMEX ,NG    ,4/1/2019,0.20698,rtc
11/14/2017,NYMEX ,NG    ,5/1/2019,0.20143,rtc
11/14/2017,NYMEX ,NG    ,6/1/2019,0.19596,rtc
11/14/2017,NYMEX ,NG    ,7/1/2019,0.1918,rtc
11/14/2017,NYMEX ,NG    ,8/1/2019,0.18959,rtc
11/14/2017,NYMEX ,NG    ,9/1/2019,0.18933,rtc
11/14/2017,NYMEX ,NG    ,10/1/2019,0.1891,rtc
11/14/2017,NYMEX ,NG    ,11/1/2019,0.18951,rtc
11/14/2017,NYMEX ,NG    ,12/1/2019,0.19124,rtc
11/14/2017,NYMEX ,NG    ,1/1/2020,0.20729,rtc
11/14/2017,NYMEX ,NG    ,2/1/2020,0.22118,rtc
11/14/2017,NYMEX ,NG    ,3/1/2020,0.23471,rtc
11/14/2017,NYMEX ,NG    ,4/1/2020,0.17315,rtc
11/14/2017,NYMEX ,NG    ,5/1/2020,0.16456,rtc
11/14/2017,NYMEX ,NG    ,6/1/2020,0.16174,rtc
11/14/2017,NYMEX ,NG    ,7/1/2020,0.15893,rtc
11/14/2017,NYMEX ,NG    ,8/1/2020,0.15699,rtc
11/14/2017,NYMEX ,NG    ,9/1/2020,0.15603,rtc
11/14/2017,NYMEX ,NG    ,10/1/2020,0.15623,rtc
11/14/2017,NYMEX ,NG    ,11/1/2020,0.15784,rtc
11/14/2017,NYMEX ,NG    ,12/1/2020,0.16012,rtc
