Date,Market,Component,Delmo,Segment,Price
20170403,PJM,WESTRT,20171201,pkPrice,36.47902
20170403,PJM,WESTRT,20171201,opPrice,30.3013572
20170404,PJM,WESTRT,20171201,pkPrice,36.603684
20170404,PJM,WESTRT,20171201,opPrice,30.1832126
20170405,PJM,WESTRT,20171201,pkPrice,36.85787
20170405,PJM,WESTRT,20171201,opPrice,30.2548451
20170406,PJM,WESTRT,20171201,pkPrice,36.960521
20170406,PJM,WESTRT,20171201,opPrice,30.4337102
20170407,PJM,WESTRT,20171201,pkPrice,36.723142
20170407,PJM,WESTRT,20171201,opPrice,30.3791531
20170410,PJM,WESTRT,20171201,pkPrice,36.680648
20170410,PJM,WESTRT,20171201,opPrice,30.3833477
20170411,PJM,WESTRT,20171201,pkPrice,36.184204
20170411,PJM,WESTRT,20171201,opPrice,30.3290987
20170412,PJM,WESTRT,20171201,pkPrice,36.312502
20170412,PJM,WESTRT,20171201,opPrice,30.5144111
20170413,PJM,WESTRT,20171201,pkPrice,36.366258
20170413,PJM,WESTRT,20171201,opPrice,30.5389779
20170414,PJM,WESTRT,20171201,pkPrice,36.366258
20170414,PJM,WESTRT,20171201,opPrice,30.5389779
20170417,PJM,WESTRT,20171201,pkPrice,36.265144
20170417,PJM,WESTRT,20171201,opPrice,30.5246082
20170418,PJM,WESTRT,20171201,pkPrice,36.11275
20170418,PJM,WESTRT,20171201,opPrice,30.5791149
20170419,PJM,WESTRT,20171201,pkPrice,36.288974
20170419,PJM,WESTRT,20171201,opPrice,30.7505872
20170420,PJM,WESTRT,20171201,pkPrice,36.133185
20170420,PJM,WESTRT,20171201,opPrice,30.4017951
20170421,PJM,WESTRT,20171201,pkPrice,36.122747
20170421,PJM,WESTRT,20171201,opPrice,30.4865588
20170424,PJM,WESTRT,20171201,pkPrice,36.064375
20170424,PJM,WESTRT,20171201,opPrice,30.5028132
20170425,PJM,WESTRT,20171201,pkPrice,36.190611
20170425,PJM,WESTRT,20171201,opPrice,30.5477182
20170426,PJM,WESTRT,20171201,pkPrice,36.371901
20170426,PJM,WESTRT,20171201,opPrice,29.9034421
20170427,PJM,WESTRT,20171201,pkPrice,36.2251
20170427,PJM,WESTRT,20171201,opPrice,29.8909995
20170428,PJM,WESTRT,20171201,pkPrice,36.43183
20170428,PJM,WESTRT,20171201,opPrice,30.0467366
20170501,PJM,WESTRT,20171201,pkPrice,35.991262
20170501,PJM,WESTRT,20171201,opPrice,29.8294987
20170502,PJM,WESTRT,20171201,pkPrice,35.959327
20170502,PJM,WESTRT,20171201,opPrice,29.837586
20170503,PJM,WESTRT,20171201,pkPrice,36.201476
20170503,PJM,WESTRT,20171201,opPrice,29.8657725
20170504,PJM,WESTRT,20171201,pkPrice,36.1998
20170504,PJM,WESTRT,20171201,opPrice,29.8679856
20170505,PJM,WESTRT,20171201,pkPrice,36.500033
20170505,PJM,WESTRT,20171201,opPrice,30.0059806
20170508,PJM,WESTRT,20171201,pkPrice,36.204551
20170508,PJM,WESTRT,20171201,opPrice,30.2229359
20170509,PJM,WESTRT,20171201,pkPrice,36.531797
20170509,PJM,WESTRT,20171201,opPrice,30.2965001
20170510,PJM,WESTRT,20171201,pkPrice,36.838394
20170510,PJM,WESTRT,20171201,opPrice,30.4323488
20170511,PJM,WESTRT,20171201,pkPrice,37.167633
20170511,PJM,WESTRT,20171201,opPrice,30.8843839
20170512,PJM,WESTRT,20171201,pkPrice,37.254174
20170512,PJM,WESTRT,20171201,opPrice,30.7463408
20170515,PJM,WESTRT,20171201,pkPrice,36.984385
20170515,PJM,WESTRT,20171201,opPrice,30.6400208
20170516,PJM,WESTRT,20171201,pkPrice,36.624853
20170516,PJM,WESTRT,20171201,opPrice,30.5250181
20170517,PJM,WESTRT,20171201,pkPrice,36.559867
20170517,PJM,WESTRT,20171201,opPrice,30.5601538
20170518,PJM,WESTRT,20171201,pkPrice,36.613955
20170518,PJM,WESTRT,20171201,opPrice,30.5697992
20170519,PJM,WESTRT,20171201,pkPrice,36.86182
20170519,PJM,WESTRT,20171201,opPrice,30.682989
20170522,PJM,WESTRT,20171201,pkPrice,37.168827
20170522,PJM,WESTRT,20171201,opPrice,30.7749591
20170523,PJM,WESTRT,20171201,pkPrice,36.874334
20170523,PJM,WESTRT,20171201,opPrice,30.8184618
20170524,PJM,WESTRT,20171201,pkPrice,36.785526
20170524,PJM,WESTRT,20171201,opPrice,30.728065
20170525,PJM,WESTRT,20171201,pkPrice,36.626464
20170525,PJM,WESTRT,20171201,opPrice,30.725494
20170526,PJM,WESTRT,20171201,pkPrice,36.561494
20170526,PJM,WESTRT,20171201,opPrice,30.6183347
20170529,PJM,WESTRT,20171201,pkPrice,36.561494
20170529,PJM,WESTRT,20171201,opPrice,30.6183347
20170530,PJM,WESTRT,20171201,pkPrice,35.635443
20170530,PJM,WESTRT,20171201,opPrice,29.9533079
20170531,PJM,WESTRT,20171201,pkPrice,35.8533
20170531,PJM,WESTRT,20171201,opPrice,31.2386
20170601,PJM,WESTRT,20171201,pkPrice,35.696337
20170601,PJM,WESTRT,20171201,opPrice,29.9574749
20170602,PJM,WESTRT,20171201,pkPrice,35.734786
20170602,PJM,WESTRT,20171201,opPrice,30.0046391
20170605,PJM,WESTRT,20171201,pkPrice,35.970981
20170605,PJM,WESTRT,20171201,opPrice,30.1916838
20170606,PJM,WESTRT,20171201,pkPrice,36.116343
20170606,PJM,WESTRT,20171201,opPrice,30.1886291
20170607,PJM,WESTRT,20171201,pkPrice,36.457698
20170607,PJM,WESTRT,20171201,opPrice,31.4242284
20170608,PJM,WESTRT,20171201,pkPrice,36.846454
20170608,PJM,WESTRT,20171201,opPrice,31.9342969
20170609,PJM,WESTRT,20171201,pkPrice,36.42077
20170609,PJM,WESTRT,20171201,opPrice,31.5711343
20170612,PJM,WESTRT,20171201,pkPrice,36.571222
20170612,PJM,WESTRT,20171201,opPrice,31.6382552
20170613,PJM,WESTRT,20171201,pkPrice,36.5516
20170613,PJM,WESTRT,20171201,opPrice,32.0351003
20170614,PJM,WESTRT,20171201,pkPrice,36.323587
20170614,PJM,WESTRT,20171201,opPrice,32.0075272
20170615,PJM,WESTRT,20171201,pkPrice,36.812487
20170615,PJM,WESTRT,20171201,opPrice,32.2225681
20170616,PJM,WESTRT,20171201,pkPrice,36.533982
20170616,PJM,WESTRT,20171201,opPrice,32.266532
20170619,PJM,WESTRT,20171201,pkPrice,36.283721
20170619,PJM,WESTRT,20171201,opPrice,32.3053652
20170620,PJM,WESTRT,20171201,pkPrice,36.35787
20170620,PJM,WESTRT,20171201,opPrice,32.2784589
20170621,PJM,WESTRT,20171201,pkPrice,36.335746
20170621,PJM,WESTRT,20171201,opPrice,31.937606
20170622,PJM,WESTRT,20171201,pkPrice,36.345748
20170622,PJM,WESTRT,20171201,opPrice,31.9511662
20170623,PJM,WESTRT,20171201,pkPrice,36.602089
20170623,PJM,WESTRT,20171201,opPrice,32.163283
20170626,PJM,WESTRT,20171201,pkPrice,37.033662
20170626,PJM,WESTRT,20171201,opPrice,32.1989719
20170627,PJM,WESTRT,20171201,pkPrice,36.763524
20170627,PJM,WESTRT,20171201,opPrice,32.2456808
20170628,PJM,WESTRT,20171201,pkPrice,36.495043
20170628,PJM,WESTRT,20171201,opPrice,32.2827291
20170629,PJM,WESTRT,20171201,pkPrice,36.158
20170629,PJM,WESTRT,20171201,opPrice,32.2260001
20170630,PJM,WESTRT,20171201,pkPrice,36.115
20170630,PJM,WESTRT,20171201,opPrice,32.2080003
20170703,PJM,WESTRT,20171201,pkPrice,36
20170703,PJM,WESTRT,20171201,opPrice,27.1800002
20170704,PJM,WESTRT,20171201,pkPrice,36
20170704,PJM,WESTRT,20171201,opPrice,27.1800002
20170705,PJM,WESTRT,20171201,pkPrice,35.419115
20170705,PJM,WESTRT,20171201,opPrice,26.901941
20170706,PJM,WESTRT,20171201,pkPrice,35.544743
20170706,PJM,WESTRT,20171201,opPrice,26.9099529
20170707,PJM,WESTRT,20171201,pkPrice,35.52705
20170707,PJM,WESTRT,20171201,opPrice,26.91179
20170710,PJM,WESTRT,20171201,pkPrice,35.810008
20170710,PJM,WESTRT,20171201,opPrice,27.0013929
20170711,PJM,WESTRT,20171201,pkPrice,36.091533
20170711,PJM,WESTRT,20171201,opPrice,27.1856623
20170712,PJM,WESTRT,20171201,pkPrice,35.715244
20170712,PJM,WESTRT,20171201,opPrice,26.9766454
20170713,PJM,WESTRT,20171201,pkPrice,35.494729
20170713,PJM,WESTRT,20171201,opPrice,26.9147003
20170714,PJM,WESTRT,20171201,pkPrice,35.551601
20170714,PJM,WESTRT,20171201,opPrice,26.6592141
20170717,PJM,WESTRT,20171201,pkPrice,35.698215
20170717,PJM,WESTRT,20171201,opPrice,26.6988071
20170718,PJM,WESTRT,20171201,pkPrice,35.932664
20170718,PJM,WESTRT,20171201,opPrice,26.7513624
20170719,PJM,WESTRT,20171201,pkPrice,35.864802
20170719,PJM,WESTRT,20171201,opPrice,26.8438363
20170720,PJM,WESTRT,20171201,pkPrice,35.857021
20170720,PJM,WESTRT,20171201,opPrice,26.7578471
20170721,PJM,WESTRT,20171201,pkPrice,35.46166
20170721,PJM,WESTRT,20171201,opPrice,26.706745
20170724,PJM,WESTRT,20171201,pkPrice,35.023542
20170724,PJM,WESTRT,20171201,opPrice,26.5124974
20170725,PJM,WESTRT,20171201,pkPrice,35.193069
20170725,PJM,WESTRT,20171201,opPrice,26.5007733
20170726,PJM,WESTRT,20171201,pkPrice,35.027582
20170726,PJM,WESTRT,20171201,opPrice,26.273111
20170727,PJM,WESTRT,20171201,pkPrice,35.300142
20170727,PJM,WESTRT,20171201,opPrice,26.4207783
20170728,PJM,WESTRT,20171201,pkPrice,35.2777
20170728,PJM,WESTRT,20171201,opPrice,26.4226614
20170731,PJM,WESTRT,20171201,pkPrice,35.704392
20170731,PJM,WESTRT,20171201,opPrice,26.1328082
20170801,PJM,WESTRT,20171201,pkPrice,35.194105
20170801,PJM,WESTRT,20171201,opPrice,26.2783349
20170802,PJM,WESTRT,20171201,pkPrice,35.936971
20170802,PJM,WESTRT,20171201,opPrice,26.1218061
20170803,PJM,WESTRT,20171201,pkPrice,35.937906
20170803,PJM,WESTRT,20171201,opPrice,26.1138331
20170804,PJM,WESTRT,20171201,pkPrice,35.798926
20170804,PJM,WESTRT,20171201,opPrice,26.0944784
20170807,PJM,WESTRT,20171201,pkPrice,35.78711
20170807,PJM,WESTRT,20171201,opPrice,26.0791554
20170808,PJM,WESTRT,20171201,pkPrice,35.86004
20170808,PJM,WESTRT,20171201,opPrice,25.8863004
20170809,PJM,WESTRT,20171201,pkPrice,36.219186
20170809,PJM,WESTRT,20171201,opPrice,26.1612999
20170810,PJM,WESTRT,20171201,pkPrice,36.455072
20170810,PJM,WESTRT,20171201,opPrice,26.1863004
20170811,PJM,WESTRT,20171201,pkPrice,36.361559
20170811,PJM,WESTRT,20171201,opPrice,26.0862999
20170814,PJM,WESTRT,20171201,pkPrice,36.024483
20170814,PJM,WESTRT,20171201,opPrice,26.1363001
20170815,PJM,WESTRT,20171201,pkPrice,35.976783
20170815,PJM,WESTRT,20171201,opPrice,26.1613002
20170816,PJM,WESTRT,20171201,pkPrice,35.732953
20170816,PJM,WESTRT,20171201,opPrice,26.0488004
20170817,PJM,WESTRT,20171201,pkPrice,35.902859
20170817,PJM,WESTRT,20171201,opPrice,26.0613003
20170818,PJM,WESTRT,20171201,pkPrice,35.826233
20170818,PJM,WESTRT,20171201,opPrice,25.9363003
20170821,PJM,WESTRT,20171201,pkPrice,35.978689
20170821,PJM,WESTRT,20171201,opPrice,26.0363002
20170822,PJM,WESTRT,20171201,pkPrice,35.809673
20170822,PJM,WESTRT,20171201,opPrice,26.0113003
20170823,PJM,WESTRT,20171201,pkPrice,35.674794
20170823,PJM,WESTRT,20171201,opPrice,26.0488003
20170824,PJM,WESTRT,20171201,pkPrice,36.252
20170824,PJM,WESTRT,20171201,opPrice,25.9988
20170825,PJM,WESTRT,20171201,pkPrice,35.977
20170825,PJM,WESTRT,20171201,opPrice,25.9113003
20170828,PJM,WESTRT,20171201,pkPrice,35.977
20170828,PJM,WESTRT,20171201,opPrice,25.9113003
20170829,PJM,WESTRT,20171201,pkPrice,35.977
20170829,PJM,WESTRT,20171201,opPrice,25.9113003
20170830,PJM,WESTRT,20171201,pkPrice,35.9389
20170830,PJM,WESTRT,20171201,opPrice,25.9454001
20170831,PJM,WESTRT,20171201,pkPrice,36.3139
20170831,PJM,WESTRT,20171201,opPrice,26.1078997
20170901,PJM,WESTRT,20171201,pkPrice,36.1889
20170901,PJM,WESTRT,20171201,opPrice,25.9578998
20170904,PJM,WESTRT,20171201,pkPrice,36.1889
20170904,PJM,WESTRT,20171201,opPrice,25.9578998
20170905,PJM,WESTRT,20171201,pkPrice,35.8639
20170905,PJM,WESTRT,20171201,opPrice,25.9953999
20170906,PJM,WESTRT,20171201,pkPrice,35.8139
20170906,PJM,WESTRT,20171201,opPrice,26.0079
20170907,PJM,WESTRT,20171201,pkPrice,35.3889
20170907,PJM,WESTRT,20171201,opPrice,25.8704004
20170908,PJM,WESTRT,20171201,pkPrice,35.1514
20170908,PJM,WESTRT,20171201,opPrice,25.7579002
20170911,PJM,WESTRT,20171201,pkPrice,35.3889
20170911,PJM,WESTRT,20171201,opPrice,26.0578999
20170912,PJM,WESTRT,20171201,pkPrice,35.4889
20170912,PJM,WESTRT,20171201,opPrice,26.1078999
20170913,PJM,WESTRT,20171201,pkPrice,35.8889
20170913,PJM,WESTRT,20171201,opPrice,26.1704003
20170914,PJM,WESTRT,20171201,pkPrice,35.9014
20170914,PJM,WESTRT,20171201,opPrice,26.1954002
20170915,PJM,WESTRT,20171201,pkPrice,35.7764
20170915,PJM,WESTRT,20171201,opPrice,26.1953999
20170918,PJM,WESTRT,20171201,pkPrice,36.3264
20170918,PJM,WESTRT,20171201,opPrice,26.4829
20170919,PJM,WESTRT,20171201,pkPrice,36.1639
